,acc,dice,jac,mcc,sen,hd
0,98.59428356397801,94.89145709334727,90.28333638971645,93.90186620521676,98.62544740482596,7.750562283695359
1,95.99707472895254,89.21383777957068,80.5991701133812,87.45917762220786,97.29664288458038,4.730552010409939
2,96.2099851702028,89.67926990695497,81.39304547959343,87.98732755399146,97.40557380801074,4.9781222909334994
3,95.93252061074715,89.07271947465657,80.35846832379366,87.29904337549681,97.26361519619623,4.655489082264132
4,99.90771862292316,97.76268722220411,95.18071827617084,97.15999968477061,99.29743743498395,9.277812352236227
5,96.62135191349863,90.57853674113656,82.92690132087476,89.00777218852375,97.61604051388304,5.4564557133705085
6,98.50010143603185,94.68557058109292,89.9321611684599,93.66823612038911,98.57726119983026,7.6410481814324
7,98.68704245606145,95.09423234580875,90.62920481678727,94.131965782478,98.6729054426361,7.858421460536569
8,98.81183539270084,95.3670355096251,91.09451801464422,94.44152965631216,98.7367529916144,8.003529526396328
9,99.05432111080722,95.89712056781116,91.99867018835874,95.04304461595592,98.86081545204091,8.28548966372934
10,97.94768303814263,93.47795826942807,87.87236853757058,92.29789590857085,98.29462853114275,6.998701207142589
11,96.07383968765151,89.38164954974984,80.88540224620452,87.64960232595726,97.33591797972869,4.81981359029247
12,97.66800163516528,92.86656171408227,86.82952547685663,91.60411258335576,98.15153572031713,6.673490273448011
13,97.01645043890849,91.44224049435809,84.40009814817817,89.98786155388153,97.81818394548807,5.915872603381966
14,98.79845329817573,95.33778162857023,91.04462043738397,94.40833376291656,98.72990633860155,7.987968951367139
15,98.983364193796,95.74200544690291,91.73409439702235,94.86702745747849,98.82451191310494,8.20298162069304
16,98.1076377621312,93.82762673582172,88.4687888650009,92.6946828207906,98.37646583178807,7.1846950722456
17,99.25912127260388,96.34482324708755,92.76230490017416,95.55107602506388,98.96559693016943,8.523629386748695
18,98.53347030669939,94.75851648441262,90.05658308156906,93.75101161351786,98.59433364528806,7.679849193836501
19,98.80046369687511,95.34217645363398,91.05211657517003,94.41332079844992,98.7309349146803,7.9903066242733995
20,98.74630614289633,95.22378552168037,90.85018026924914,94.27897647850254,98.70322639869116,7.927332724298066
21,99.23298159666655,96.28768069968967,92.66483835656288,95.48623341808756,98.95222314248056,8.49323441472855
22,97.83200232709163,93.22507485457241,87.44103193279906,92.01093600518855,98.23544305107015,6.864188752432137
23,97.95185731079741,93.48708342360365,87.88793307359347,92.30825069345094,98.29676420552427,7.003555012555133
24,100.35782504781263,98.74664080219503,96.85902207750289,98.27654275426387,99.52772444306693,9.801191916061189
25,99.26263991231754,96.35251515715929,92.77542478933908,95.55980443365593,98.96739716444154,8.52772082827622
26,98.98636668096154,95.74856902349734,91.74528971738377,94.87447548765655,98.82604806932918,8.20647288483901
27,98.754925556925,95.24262796165,90.88231932465834,94.30035797066667,98.70763633145,7.937355298750002
28,96.3536191103699,89.99326038080862,81.92861079137926,88.34362880091759,97.47906094018926,5.145138500430121
29,96.68167739099104,90.71041104077113,83.15183585323021,89.15741678385376,97.64690471166985,5.5266016174314565
30,97.57743203342466,92.66857235213763,86.49182021765321,91.37944380384413,98.10519778454285,6.568176783051934
31,96.61410517199351,90.56269502714864,82.89988052503013,88.9897957754878,97.61233287869436,5.448029269759914
32,99.52928970468483,96.93542400559011,93.76967711591787,96.22126128293912,99.1038226396062,8.837778726377715
33,99.32353210747264,96.48562832796347,93.00247243173912,95.71085484024223,98.99855131079997,8.598525706363551
34,99.25190248816546,96.32904264854774,92.73538834734563,95.53316896289105,98.96190359859628,8.515235451355185
35,99.25375313260464,96.3330882433683,92.74228881227003,95.53775970878671,98.96285043993727,8.517387363493773
